код_мкб,название_диагноза,класс_заболевания
a20.3,чумной менингит,некоторые инфекционные и паразитарные болезни
a20.7,септическая чума,некоторые инфекционные и паразитарные болезни
a20.8,другие формы чумы,некоторые инфекционные и паразитарные болезни
a20.9,чума неуточненная,некоторые инфекционные и паразитарные болезни
a21,туляремия,некоторые инфекционные и паразитарные болезни
a21.0,ульцерогландулярная туляремия,некоторые инфекционные и паразитарные болезни
a21.1,окулогландулярная туляремия,некоторые инфекционные и паразитарные болезни
a21.2,легочная туляремия,некоторые инфекционные и паразитарные болезни
a21.3,желудочно-кишечная туляремия,некоторые инфекционные и паразитарные болезни
a21.7,генерализованная туляремия,некоторые инфекционные и паразитарные болезни
a21.8,другие формы туляремии,некоторые инфекционные и паразитарные болезни
a21.9,туляремия неуточненная,некоторые инфекционные и паразитарные болезни
a22,сибирская язва,некоторые инфекционные и паразитарные болезни
a22.0,кожная форма сибирской язвы,некоторые инфекционные и паразитарные болезни
a22.1,легочная форма сибирской язвы,некоторые инфекционные и паразитарные болезни
a22.2,желудочно-кишечная форма сибирской язвы,некоторые инфекционные и паразитарные болезни
a22.7,сибиреязвенный сепсис,некоторые инфекционные и паразитарные болезни
a22.8,другие формы сибирской язвы,некоторые инфекционные и паразитарные болезни
a22.9,сибирская язва неуточненная,некоторые инфекционные и паразитарные болезни
a23,бруцеллез,некоторые инфекционные и паразитарные болезни
a23.0,"бруцеллез, вызванный brucella melitensis",некоторые инфекционные и паразитарные болезни
a23.1,"бруцеллез, вызванный brucella abortus",некоторые инфекционные и паразитарные болезни
a23.2,"бруцеллез, вызванный brucella suis",некоторые инфекционные и паразитарные болезни
a23.3,"бруцеллез, вызванный brucella canis",некоторые инфекционные и паразитарные болезни
a23.8,другие формы бруцеллеза,некоторые инфекционные и паразитарные болезни
a23.9,бруцеллез неуточненный,некоторые инфекционные и паразитарные болезни
a24,сап и мелиоидоз,некоторые инфекционные и паразитарные болезни
a24.0,сап,некоторые инфекционные и паразитарные болезни
a24.1,острый или молниеносный мелиоидоз,некоторые инфекционные и паразитарные болезни
a24.2,подострый и хронический мелиоидоз,некоторые инфекционные и паразитарные болезни
a24.3,другой уточненный мелиоидоз,некоторые инфекционные и паразитарные болезни
a24.4,мелиоидоз неуточненный,некоторые инфекционные и паразитарные болезни
a25,лихорадка от укуса крыс,некоторые инфекционные и паразитарные болезни
a25.0,спириллез,некоторые инфекционные и паразитарные болезни
a25.1,стрептобациллез,некоторые инфекционные и паразитарные болезни
a25.9,лихорадка от укуса крыс неуточненная,некоторые инфекционные и паразитарные болезни
a26,эризипелоид,некоторые инфекционные и паразитарные болезни
a26.0,кожный эризипелоид,некоторые инфекционные и паразитарные болезни
a26.7,"сепсис, вызванный erysipelothrix",некоторые инфекционные и паразитарные болезни
a26.8,другие формы эризипелоида,некоторые инфекционные и паразитарные болезни
a26.9,эризипелоид неуточненный,некоторые инфекционные и паразитарные болезни
a27,лептоспироз,некоторые инфекционные и паразитарные болезни
a27.0,лептоспироз желтушно-геморрагический,некоторые инфекционные и паразитарные болезни
a27.8,другие формы лептоспироза,некоторые инфекционные и паразитарные болезни
a27.9,лептоспироз неуточненный,некоторые инфекционные и паразитарные болезни
a28,"другие бактериальные зоонозы, не классифицированные в других рубриках",некоторые инфекционные и паразитарные болезни
a28.0,пастереллез,некоторые инфекционные и паразитарные болезни
a28.1,лихорадка от кошачьих царапин,некоторые инфекционные и паразитарные болезни
a28.2,экстраинтестинальный иерсиниоз,некоторые инфекционные и паразитарные болезни
a28.8,"другие уточненные бактериальные зоонозы, не классифицированные в других рубриках",некоторые инфекционные и паразитарные болезни
a28.9,бактериальные зоонозы неуточненные,некоторые инфекционные и паразитарные болезни
a30,лепра [болезнь гансена],некоторые инфекционные и паразитарные болезни
a30.0,недифференцированная лепра,некоторые инфекционные и паразитарные болезни
a30.1,туберкулоидная лепра,некоторые инфекционные и паразитарные болезни
a30.2,пограничная туберкулоидная лепра,некоторые инфекционные и паразитарные болезни
a30.3,пограничная лепра,некоторые инфекционные и паразитарные болезни
a30.4,пограничная лепроматозная лепра,некоторые инфекционные и паразитарные болезни
a30.5,лепроматозная лепра,некоторые инфекционные и паразитарные болезни
a30.8,другие формы лепры,некоторые инфекционные и паразитарные болезни
a30.9,лепра неуточненная,некоторые инфекционные и паразитарные болезни
a31,"инфекции, вызванные другими микобактериями",некоторые инфекционные и паразитарные болезни
a31.0,"легочная инфекция, вызванная mycobacterium",некоторые инфекционные и паразитарные болезни
a31.1,"кожная инфекция, вызванная mycobacterium",некоторые инфекционные и паразитарные болезни
a31.8,"другие инфекции, вызванные mycobacterium",некоторые инфекционные и паразитарные болезни
a31.9,"инфекция, вызванная mycobacterium, неуточненная",некоторые инфекционные и паразитарные болезни
a32,листериоз,некоторые инфекционные и паразитарные болезни
a32.0,кожный листериоз,некоторые инфекционные и паразитарные болезни
a32.1,листериозный менингит и менингоэнцефалит,некоторые инфекционные и паразитарные болезни
a32.7,листериозный сепсис,некоторые инфекционные и паразитарные болезни
a32.8,другие формы листериоза,некоторые инфекционные и паразитарные болезни
a32.9,листериоз неуточненный,некоторые инфекционные и паразитарные болезни
a33,столбняк новорожденного,некоторые инфекционные и паразитарные болезни
a34,акушерский столбняк,некоторые инфекционные и паразитарные болезни
a35,другие формы столбняка,некоторые инфекционные и паразитарные болезни
a36,дифтерия,некоторые инфекционные и паразитарные болезни
a36.0,дифтерия глотки,некоторые инфекционные и паразитарные болезни
a36.1,дифтерия носоглотки,некоторые инфекционные и паразитарные болезни
a36.2,дифтерия гортани,некоторые инфекционные и паразитарные болезни
a36.3,дифтерия кожи,некоторые инфекционные и паразитарные болезни
a36.8,другая дифтерия,некоторые инфекционные и паразитарные болезни
a36.9,дифтерия неуточненная,некоторые инфекционные и паразитарные болезни
a37,коклюш,некоторые инфекционные и паразитарные болезни
a37.0,"коклюш, вызванный bordetella pertussis",некоторые инфекционные и паразитарные болезни
a37.1,"коклюш, вызванный bordetella parapertussis",некоторые инфекционные и паразитарные болезни
a37.8,"коклюш, вызванный другим уточненным возбудителем вида bordetella",некоторые инфекционные и паразитарные болезни
a37.9,коклюш неуточненный,некоторые инфекционные и паразитарные болезни
a38,скарлатина,некоторые инфекционные и паразитарные болезни
a39,менингококковая инфекция,некоторые инфекционные и паразитарные болезни
a39.0,менингококковый менингит (g01*),некоторые инфекционные и паразитарные болезни
a39.1,синдром уотерхауса-фридериксена (e35.1*),некоторые инфекционные и паразитарные болезни
a39.2,острая менингококкемия,некоторые инфекционные и паразитарные болезни
a39.3,хроническая менингококкемия,некоторые инфекционные и паразитарные болезни
a39.4,менингококкемия неуточненная,некоторые инфекционные и паразитарные болезни
a39.5,менингококковая болезнь сердца,некоторые инфекционные и паразитарные болезни
a39.8,другие менингококковые инфекции,некоторые инфекционные и паразитарные болезни
a39.9,менингококковая инфекция неуточненная,некоторые инфекционные и паразитарные болезни
a40,стрептококковый сепсис,некоторые инфекционные и паразитарные болезни
a40.0,"сепсис, вызванный стрептококком группы a",некоторые инфекционные и паразитарные болезни
a40.1,"сепсис, вызванный стрептококком группы b",некоторые инфекционные и паразитарные болезни
a40.2,"сепсис, вызванный стрептококком группы d и энтерококком",некоторые инфекционные и паразитарные болезни
a40.3,"сепсис, вызванный streptococcus pneumoniae",некоторые инфекционные и паразитарные болезни
a40.8,другой стрептококковый сепсис,некоторые инфекционные и паразитарные болезни
a40.9,стрептококковый сепсис неуточненный,некоторые инфекционные и паразитарные болезни
a41,другой сепсис,некоторые инфекционные и паразитарные болезни
a41.0,"сепсис, вызванный staphylococcus aureus",некоторые инфекционные и паразитарные болезни
a41.1,"сепсис, вызванный другим уточненным стафилококком",некоторые инфекционные и паразитарные болезни
a41.2,"сепсис, вызванный неуточненным стафилококком",некоторые инфекционные и паразитарные болезни
a41.3,"сепсис, вызванный haemophilus influenzae",некоторые инфекционные и паразитарные болезни
a41.4,"сепсис, вызванный анаэробами",некоторые инфекционные и паразитарные болезни
a41.5,"сепсис, вызванный другими грамотрицательными микроорганизмами",некоторые инфекционные и паразитарные болезни
a41.8,другой уточненный сепсис,некоторые инфекционные и паразитарные болезни
a41.9,сепсис неуточненный,некоторые инфекционные и паразитарные болезни
a42,актиномикоз,некоторые инфекционные и паразитарные болезни
a42.0,легочный актиномикоз,некоторые инфекционные и паразитарные болезни
a42.1,абдоминальный актиномикоз,некоторые инфекционные и паразитарные болезни
a42.2,шейно-лицевой актиномикоз,некоторые инфекционные и паразитарные болезни
a42.7,актиномикозный сепсис,некоторые инфекционные и паразитарные болезни
a42.8,другие актиномикозы,некоторые инфекционные и паразитарные болезни
a42.9,актиномикоз неуточненный,некоторые инфекционные и паразитарные болезни
a43,нокардиоз,некоторые инфекционные и паразитарные болезни
a43.0,легочный нокардиоз,некоторые инфекционные и паразитарные болезни
a43.1,нокардиоз кожи,некоторые инфекционные и паразитарные болезни
a43.8,другие формы нокардиоза,некоторые инфекционные и паразитарные болезни
a43.9,нокардиоз неуточненный,некоторые инфекционные и паразитарные болезни
a44,бартонеллез,некоторые инфекционные и паразитарные болезни
a44.0,системный бартонеллез,некоторые инфекционные и паразитарные болезни
a44.1,кожный и кожно-слизистый бартонеллез,некоторые инфекционные и паразитарные болезни
a44.8,другие бартонеллезы,некоторые инфекционные и паразитарные болезни
a44.9,бартонеллез неуточненный,некоторые инфекционные и паразитарные болезни
a46,рожа,некоторые инфекционные и паразитарные болезни
a48,"другие бактериальные болезни, не классифицированные в других рубриках",некоторые инфекционные и паразитарные болезни
a48.0,газовая гангрена,некоторые инфекционные и паразитарные болезни
a48.1,болезнь легионеров,некоторые инфекционные и паразитарные болезни
a48.2,болезнь легионеров без пневмонии [лихорадка понтиак],некоторые инфекционные и паразитарные болезни
a48.3,синдром токсического шока,некоторые инфекционные и паразитарные болезни
a48.4,бразильская пурпурная лихорадка,некоторые инфекционные и паразитарные болезни
a48.8,другие уточненные бактериальные болезни,некоторые инфекционные и паразитарные болезни
a49,бактериальная инфекция неуточненной локализации,некоторые инфекционные и паразитарные болезни
a49.0,стафилококковая инфекция неуточненной локализации,некоторые инфекционные и паразитарные болезни
a49.1,стрептококковая и энтерококковая инфекция неуточненной локализации,некоторые инфекционные и паразитарные болезни
a49.2,"инфекция, вызванная haemophilus influenzae, неуточненной локализации",некоторые инфекционные и паразитарные болезни
a49.3,микоплазменная инфекция неуточненной локализации,некоторые инфекционные и паразитарные болезни
a49.8,другие бактериальные инфекции неуточненной локализации,некоторые инфекционные и паразитарные болезни
a49.9,бактериальная инфекция неуточненная,некоторые инфекционные и паразитарные болезни
a50,врожденный сифилис,некоторые инфекционные и паразитарные болезни
a50.0,ранний врожденный сифилис с симптомами,некоторые инфекционные и паразитарные болезни
a50.1,ранний врожденный сифилис скрытый,некоторые инфекционные и паразитарные болезни
a50.2,ранний врожденный сифилис неуточненный,некоторые инфекционные и паразитарные болезни
a50.3,позднее врожденное сифилитическое поражение глаз,некоторые инфекционные и паразитарные болезни
a50.4,поздний врожденный нейросифилис [ювенильный нейросифилис],некоторые инфекционные и паразитарные болезни
a50.5,другие формы позднего врожденного сифилиса с симптомами,некоторые инфекционные и паразитарные болезни
a50.6,поздний врожденный сифилис скрытый,некоторые инфекционные и паразитарные болезни
a50.7,поздний врожденный сифилис неуточненный,некоторые инфекционные и паразитарные болезни
a50.9,врожденный сифилис неуточненный,некоторые инфекционные и паразитарные болезни
a51,ранний сифилис,некоторые инфекционные и паразитарные болезни
a51.0,первичный сифилис половых органов,некоторые инфекционные и паразитарные болезни
a51.1,первичный сифилис анальной области,некоторые инфекционные и паразитарные болезни
a51.2,первичный сифилис других локализаций,некоторые инфекционные и паразитарные болезни
a51.3,вторичный сифилис кожи и слизистых оболочек,некоторые инфекционные и паразитарные болезни
a51.4,другие формы вторичного сифилиса,некоторые инфекционные и паразитарные болезни
a51.5,ранний сифилис скрытый,некоторые инфекционные и паразитарные болезни
a51.9,ранний сифилис неуточненный,некоторые инфекционные и паразитарные болезни
a52,поздний сифилис,некоторые инфекционные и паразитарные болезни
a52.0,сифилис сердечно-сосудистой системы,некоторые инфекционные и паразитарные болезни
a52.1,нейросифилис с симптомами,некоторые инфекционные и паразитарные болезни
a52.2,асимптомный нейросифилис,некоторые инфекционные и паразитарные болезни
a52.3,нейросифилис неуточненный,некоторые инфекционные и паразитарные болезни
a52.7,другие симптомы позднего сифилиса,некоторые инфекционные и паразитарные болезни
