код_препарата,дозировка,торговое_название,стоимость,мета_информация
200900281,20,сандостатин лар,126960,"сандостатин лар, 20 мг, флакон № 1, микросферы приготовления суспензии для инъекций"
200900283,250,селлсепт,2375,"селлсепт, 250 мг № 100, капсулы"
200900284,16,сердолект,5796,"сердолект, 16 мг № 28, таблетки покрытые оболочкой"
200900285,25+125,серетид,1411,"серетид, 25 мкг+ 125 мкг/доза 120 доз № 1, аэрозоль для ингаляций дозированный"
200900286,25+250,серетид,2137,"серетид, 25 мкг + 250 мкг/доза 120 доз № 1, аэрозоль для ингаляций дозированный"
200900287,50+500,серетид мультидиск,2020,"серетид мультидиск, 50 мкг+500 мкг/доза 60 доз № 1, порошок для ингаляций дозированный"
200900288,50+250,серетид мультидиск,1510,"серетид мультидиск, 50 мкг+250 мкг/доза 60 доз № 1, порошок для ингаляций дозированный"
200900289,50+100,серетид мультидиск,1146,"серетид мультидиск, 50 мкг+100 мкг/доза 60 доз № 1, порошок для ингаляций дозированный"
200900318,unknown,тест-полоски betachek,447,"тест-полоски betachek, № 50"
200900323,250+25,тидомет форте,381,"тидомет форте, 250 мг + 25 мг № 100, таблетки"
200900324,25,тизерцин,200,"тизерцин, 25 мг № 50, таблетки покрытые оболочкой"
200900325,5,тимолол-акос,16,"тимолол-акос, 5 мг/мл, 5 мл № 1, капли глазные"
200900328,10,тиодазин,43,"тиодазин, 10 мг № 100, таблетки покрытые плёночной оболочкой"
200900331,25,топамакс,731,"топамакс, 25 мг № 60, капсулы"
200900335,50,трамадол,33,"трамадол, 50 мг/мл 2 мл, ампулы № 5, раствор для инъекций"
200900336,100,трамал ретард,75,"трамал ретард, 100 мг № 10, таблетки ретард покрытые оболочкой"
200900337,200,трамал ретард,144,"трамал ретард, 200 мг № 10, таблетки ретард покрытые оболочкой"
200900339,600,трилептал,1134,"трилептал, 600 мг № 50, таблетки покрытые плёночной оболочкой"
200900346,0.5,феназепам,60,"феназепам, 0,5 мг № 50, таблетки"
200900349,100,фенобарбитал,15,"фенобарбитал, 100 мг № 10, таблетки"
200900355,5,финаст,237,"финаст, 5 мг № 30, таблетки покрытые плёночной оболочкой"
200900356,200,финлепсин  ретард,230,"финлепсин ретард, 200 мг № 50, таблетки пролонгированного действия"
200900358,5,флюанксол,1065,"флюанксол, 5 мг № 100, таблетки покрытые оболочкой"
200900359,20,флюанксол,1760,"флюанксол, 20 мг/мл № 10, раствор для внутримышечного введения (масляный)"
200900367,5700,фраксипарин,2458,"фраксипарин, 5700 ме (анти-ха) 0,6 мл № 10, раствор для подкожного введения"
200900371,15,хлорпротиксен зентива,54,"хлорпротиксен зентива, 15 мг № 30, таблетки покрытые плёночной оболочкой"
200900372,0.25,хондроксид,311,"хондроксид, 250 мг № 60, таблетки"
200900374,100,хумалог,1558,"хумалог, 100 ед/мл, 3 мл, картриджи № 5, раствор для внутривенного и подкожного введения"
200900378,100,хумулин мз,807,"хумулин мз, 100 ме/мл 3 мл, картриджи № 5, суспензия для подкожного введения"
200900390,50,эглонил,361,"эглонил, 50 мг № 30, таблетки"
200900393,5,эналаприл,9,"эналаприл, 5 мг № 20, таблетки"
200900394,20,эналаприл,13,"эналаприл, 20 мг № 20, таблетки"
200900396,10,энап,64,"энап, 10 мг № 20, таблетки"
200900397,20,энап,103,"энап, 20 мг № 20, таблетки"
200900399,10+12.5,энап-нл,112,"энап-нл, 10 мг + 12,5 мг № 20, таблетки"
200900400,300,энкорат хроно,102,"энкорат хроно, 300 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
200900405,400,этамбутол,148,"этамбутол, 400 мг № 100, таблетки"
200900406,100,эутирокс,104,"эутирокс, 100 мкг № 100, таблетки"
200900413,180,майфортик,4444,"майфортик, 180 мг № 100, таблетки покрытые оболочкой, кишечнорастворимые"
200900419,20,копаксон-тева,29065,"копаксон-тева, 20 мг/мл, 1 мл № 28, раствор для подкожного введения"
200900432,600,иммунин,6432,"иммунин, 600 ме, флакон № 1, лиофилизат для приготовления раствора для внутривенного введения"
200900438,1000,октанат,7280,"октанат, 1000 ме, флакон № 1, лиофилизат для приготовления раствора для внутривенного введения"
200900441,5,трифтазин,22,"трифтазин, 5 мг № 50, таблетки покрытые оболочкой"
200900443,0.4,глиатилин,741,"глиатилин, 400 мг № 14, капсулы"
200900446,150,рифампицин-ферейн,420,"рифампицин-ферейн, 150 мг № 10, лиофилизат для приготовления раствора для инъекций"
200900460,6,авонекс,32901,"авонекс, 30 мкг (6 млн.ме) № 4, порошок для приготовления раствора для инъекций"
201000005,0.008,авандия,2352,"авандия, 8 мг № 28, таблетки покрытые плёночной оболочкой"
201000591,0.2,тафен  новолайзер,842,"тафен новолайзер, 0,2 мг/доза 200 доз № 1, порошок для ингаляций дозированный"
201000608,25,аллапинин,174,"аллапинин, 25 мг № 30, таблетки"
201000615,30,аранесп,3027,"аранесп, 30 мкг, 0,3 мл (шприц) № 1, раствор для инъекций"
201000618,0.25,беклоспир,402,"беклоспир, 0,25 мг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
201000621,100,биосулин р,1035,"биосулин р, 100 ме/мл, 3 мл, картриджи № 5, раствор для инъекций"
201000626,3,буденофальк,1230,"буденофальк, 3 мг № 20, капсулы"
201000629,100,вентолин,109,"вентолин, 100 мкг/доза, 200 доз № 1, аэрозоль для ингаляций дозированный"
201000633,25,верошпилактон,46,"верошпилактон, 25 мг № 20, таблетки"
201000639,750,депакин хроносфера,766,"депакин хроносфера, 750 мг № 30, гранулы пролонгированного действия для приема внутрь"
201000643,60,диабетон мв,197,"диабетон мв, 60 мг № 30, таблетки с модифицированным высвобождением"
201000646,5,земплар,3356,"земплар, 5 мкг/мл, 1 мл № 5, раствор для внутривенного введения"
201000656,0.5,клоназепам,54,"клоназепам, 0,5 мг № 30, таблетки"
201000668,50,космофер,3852,"космофер, 50 мг/мл, 2 мл № 5, раствор для инъекций"
201000671,25,ламиктал,308,"ламиктал, 25 мг № 30, таблетки"
201000672,50,ламиктал,1365,"ламиктал, 50 мг № 30, таблетки"
201000698,20,омепразол,30,"омепразол, 20 мг № 30, капсулы (кишечнорастворимые)"
201800012,1000,мерифатин,81,"мерифатин, 1000 мг № 60, таблетки покрытые плёночной оболочкой"
201000702,150,пегинтрон,3200,"пегинтрон, 150 мкг, шприц-ручка № 1, лиофилизат для приготовления раствора для подкожного введения"
201000703,0.1,пегинтрон,8737,"пегинтрон, 0,1 мг, шприц-ручка № 1, лиофилизат для раствора для инъекций"
201000720,25+50,серетид,1017,"серетид, 25 мкг+ 50 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201000721,160+4.5,симбикорт турбухалер,1855,"симбикорт турбухалер, 160 мкг+4,5 мкг/доза 120 доз № 1, порошок для ингаляций дозированный"
201000730,unknown,"тест-полоски ""контур тс""",253,"тест-полоски ""контур тс"" для прибора ""contour ts"", № 50"
201700190,20,силденафил,3296,"силденафил, 20 мг № 90, таблетки покрытые плёночной оболочкой"
201800002,160+4.5,дуоресп спиромакс,1150,"дуоресп спиромакс, 160 мкг+4,5 мкг/доза 120 доз № 1, порошок для ингаляций дозированный"
201800003,50,топсавер,846,"топсавер, 50 мг № 60, капсулы"
201800006,200,тревикта,23433,"тревикта, 200 мг/мл, 1,315 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201800007,200,тревикта,31899,"тревикта, 200 мг/мл, 1,750 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201800009,850,мерифатин,60,"мерифатин, 850 мг № 60, таблетки покрытые плёночной оболочкой"
201800010,850,метформин-акрихин,75,"метформин-акрихин, 850 мг № 60, таблетки покрытые плёночной оболочкой"
201800021,100,дазатиниб-натив,123165,"дазатиниб-натив, 100 мг № 30, таблетки покрытые плёночной оболочкой"
201800025,100,ламотриджин,801,"ламотриджин, 100 мг № 30, таблетки"
201800026,50,ламотриджин,345,"ламотриджин, 50 мг № 30, таблетки"
201800027,25,ламотриджин,270,"ламотриджин, 25 мг № 30, таблетки"
201800031,602/360,редукто-специал,3540,"редукто-специал, 602 мг/360 мг № 100, таблетки/таблетки покрытые оболочкой"
201800035,15,викасол,11,"викасол, 15 мг № 20, таблетки"
201800041,25+50,сальмекорт,154,"сальмекорт, 25 мкг+50 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201800042,25+125,сальмекорт,194,"сальмекорт, 25 мкг+125 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201800043,25+250,сальмекорт,264,"сальмекорт, 25 мкг+250 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201800045,1000+2400,гемате п,30816,"гемате п, 1000 ме+2400 ме № 1, лиофилизат для приготовления раствора для внутривенного введения"
201800047,250,леветирацетам канон,415,"леветирацетам канон, 250 мг № 30, таблетки покрытые плёночной оболочкой"
201800053,15,ксарелто,3071,"ксарелто, 15 мг № 28, таблетки покрытые плёночной оболочкой"
201800056,20,тимексон,7235,"тимексон, 20 мг/мл 1 мл шприцы № 28, раствор для подкожного введения"
201800057,100,кветиапин канон,664,"кветиапин канон, 100 мг № 60, таблетки покрытые плёночной оболочкой"
201800058,200,кветиапин канон,908,"кветиапин канон, 200 мг № 60, таблетки покрытые плёночной оболочкой"
201800059,300,кветиапин канон,1495,"кветиапин канон, 300 мг № 60, таблетки покрытые плёночной оболочкой"
201800065,20,марукса,611,"марукса, 20 мг № 30, таблетки покрытые плёночной оболочкой"
201800067,10,афинитор,108824,"афинитор, 10 мг № 30, таблетки"
201800072,1000,иннонафактор,7850,"иннонафактор, 1000 ме, флакон № 1, лиофилизат для приготовления раствора для внутривенного введения + растворитель"
201800075,60,пиридостигмина бромид,721,"пиридостигмина бромид, 60 мг № 100, таблетки"
201800078,120,соматулин аутожель,49556,"соматулин аутожель, 120 мг № 1, гель для подкожного введения пролонгированного действия"
201800079,60,зелдокс,6216,"зелдокс, 60 мг № 30, капсулы"
201800081,50,нозефрин,110,"нозефрин, 50 мкг/доза, 18 г (120 доз) флакон № 1, спрей назальный дозированный"
201800083,32,траклир дт,90126,"траклир дт, 32 мг № 56, таблетки диспергируемые"
201800091,500,вельфоро 500,10517,"вельфоро 500, 500 мг № 90, таблетки жевательные"
201800093,400,кветиапин канон пролонг,2361,"кветиапин канон пролонг, 400 мг № 60, таблетки пролонгированного действия покрытые плёночной оболочкой"
201800094,150,варгатеф,133099,"варгатеф, 150 мг № 60, капсулы мягкие"
201800101,2.5/0.5,парсабив,4924,"парсабив, 2,5 мг/0,5 мл, 0,5 мл, флаконы № 6, раствор для внутривенного введения"
201800105,100,иматиниб,332,"иматиниб, 100 мг № 30, таблетки покрытые плёночной оболочкой"
201800108,25,нормокинезтин,9665,"нормокинезтин, 25 мг № 112, таблетки"
201800109,3.5,статиглин,108,"статиглин, 3,5 мг № 120, таблетки"
201800111,4,периндоприл,48,"периндоприл, 4 мг № 30, таблетки"
201800112,8,периндоприл,133,"периндоприл, 8 мг № 30, таблетки"
201800113,200,иновелон,5636,"иновелон, 200 мг № 60, таблетки покрытые плёночной оболочкой"
201800114,400,иновелон,10309,"иновелон, 400 мг № 60, таблетки покрытые плёночной оболочкой"
201800115,16,галантамин канон,3283,"галантамин канон, 16 мг № 28, капсулы пролонгированного действия"
201800116,24,галантамин канон,2936,"галантамин канон, 24 мг № 28, капсулы пролонгированного действия"
201800118,240,изоптин ср 240,234,"изоптин ср 240, 240 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201800119,10,цетиризин,150,"цетиризин, 10 мг/мл, 20 мл № 1, капли для приема внутрь"
201800120,20,дорзолан соло,205,"дорзолан соло, 20 мг/мл, 5 мл № 1, капли глазные"
201800124,10,нексиум,1916,"нексиум, 10 мг № 28, пеллеты, покрытые кишечнорастворимой оболочкой и гранулы для приготовления суспензии для приема внутрь"
201800137,(32g) 4,иглы kd-penofine,79,"иглы инъекц.однокр.примен.д/инсул.шприц-ручек kd-penofine № 100, дл.иг.4 мм, (g)-32g"
201800138,(31g) 6,иглы kd-penofine,390,"иглы инъекц.однокр.примен.д/инсул.шприц-ручек kd-penofine № 100, дл.иг.6 мм, (g)-31g"
201800140,(30g) 8,"иглы (пр-ва sfm ""сфм госпитал продактс гмбх"")",390,"иглы медиц. инъекц.однораз.д/инс.инжекторов(пен ручек) пр-ва сфм госпитал продактс гмбх № 100, дл.иг.8 мм, (g)-30g"
201800141,(30g) 8,иглы kd-penofine,118,"иглы инъекц.однокр.примен.д/инсул.шприц-ручек kd-penofine № 100, дл.иг.8 мм, (g)-30g"
201800148,40,зелдокс,4445,"зелдокс, 40 мг № 30, капсулы"
201800149,12,тебериф,9009,"тебериф, 44 мкг/0,5 мл (12 млн ме ), 0,5 мл, шприцы № 3, раствор для подкожного введения"
201800150,0.125,бебифрин,170,"бебифрин, 0,125 % 10 мл № 1, капли назальные"
201800151,30,окревус,226963,"окревус, 30 мг/мл 10 мл флакон № 1, концентрат для приготовления раствора для инфузий"
201800152,100,ксеомин,9617,"ксеомин, 100 ед, флакон № 1, лиофилизат для приготовления раствора для внутримышечного введения"
201800158,12000,эральфон,14242,"эральфон, 40000 ме/1 мл, 0,3 мл (12000 ме), шприц № 3, раствор для внутривенного и подкожного введения"
201800160,22+92,релвар эллипта,1854,"релвар эллипта, 22 мкг+ 92 мкг/доза, 30 доз № 1, порошок для ингаляций дозированный"
201800162,20,кальцигард ретард,39,"кальцигард ретард, 20 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201900002,150,козэнтикс,37751,"козэнтикс, 150 мг/мл, шприц 1 мл № 1, раствор для подкожного введения"
201900003,unknown,тест-полоски уан тач селект плюс,387,"тест-полоски ""уантач селект плюс"" (onetouch select plus) № 50, к приборам д/измер.уровня глюкозы в крови"
201900006,160,соталол,115,"соталол, 160 мг № 20, таблетки"
201900009,300,вирфотен,222,"вирфотен, 300 мг № 30, таблетки покрытые плёночной оболочкой"
201900021,25,оргаспорин,745,"оргаспорин, 25 мг № 50, капсулы"
201900028,25,хлорпротиксен,786,"хлорпротиксен, 25 мг № 100, таблетки покрытые плёночной оболочкой"
201900038,unknown,ингасалин форте,3383,"ингасалин форте, 5 мл № 30, раствор для ингаляций гипертонический стерильный"
201900039,50,сановаск,29,"сановаск, 50 мг № 60, таблетки покрытые кишечнорастворимой пленочной оболочкой"
201900043,25,азалептин,2100,"азалептин, 25 мг № 150, таблетки"
201900044,100,азалептин,4950,"азалептин, 100 мг № 150, таблетки"
201900045,0.5,бетаксолол-солофарм,50,"бетаксолол-солофарм, 0,5% 5 мл № 1, капли глазные"
201900048,10,элизария,273081,"элизария, 10 мг/мл 30 мл № 1, концентрат для приготовления раствора для инфузий"
201900051,150,цистагон,39969,"цистагон, 150 мг № 100, капсулы"
201900054,2.5+2.5,спиолто респимат,2691,"спиолто респимат, 2,5 мкг+2,5 мкг/доза, 4 мл № 1, раствор для ингаляций дозированный"
201900056,120,антиква рапид,2310,"антиква рапид, 120 мкг № 30, таблетки диспергируемые в полости рта"
201900058,60,антиква рапид,1288,"антиква рапид, 60 мкг № 30, таблетки диспергируемые в полости рта"
201900062,125,плегриди,23003,"плегриди, 125 мкг, 0,5 мл, шприцы № 2, раствор для подкожного введения"
201900064,15000,дэтриферол,120,"дэтриферол, 15000 ме/мл, 10 мл, флакон № 1, капли для приема внутрь"
201900068,400,самеликс,1159,"самеликс, 400 мг № 20, таблетки кишечнорастворимые, покрытые пленочной оболочкой"
201900071,25,джардинс,2591,"джардинс, 25 мг № 30, таблетки покрытые плёночной оболочкой"
201900075,unknown,компливит актив жевательный,168,"компливит актив жевательный, № 30, таблетки жевательные для детей"
201900079,20,дарзалекс,71196,"дарзалекс, 20 мг/мл, 20 мл, флакон № 1, концентрат для приготовления раствора для инфузий"
201900081,20,виндакель,963138,"виндакель, 20 мг № 30, капсулы"
201900082,400,глуразим,65660,"глуразим, 400 ед, флакон № 1, лиофилизат для приготовления раствора для инфузий"
201900095,75,клопидогрел канон,315,"клопидогрел канон, 75 мг № 28, таблетки покрытые плёночной оболочкой"
201900097,150,прадакса,3176,"прадакса, 150 мг № 60, капсулы"
201900098,500,микофенолата мофетил,1136,"микофенолата мофетил, 500 мг № 50, таблетки, покрытые пленочной оболочкой"
201900101,50+110,ультибро бризхалер,2749,"ультибро бризхалер, 50 мкг+110 мкг № 30, капсулы с порошком для ингаляций (с устройством для ингаляций бризхалер)"
201900103,0.25,пульмибуд,522,"пульмибуд, 0,25 мг/мл, 2 мл, ампулы № 20, суспензия для ингаляций дозированная"
201900104,0.5,пульмибуд,800,"пульмибуд, 0,5 мг/мл, 2 мл, ампулы № 20, суспензия для ингаляций дозированная"
201900105,100,мальтофер,424,"мальтофер, 100 мг № 30, таблетки жевательные"
201900107,4,сердолект,1465,"сердолект, 4 мг № 30, таблетки покрытые оболочкой"
201900108,100,релатокс токсин ботулинический типа а в комплексе с гемагглютинином,10367,"релатокс токсин ботулинический типа а в комплексе с гемагглютинином, 100 ед № 1, лиофилизат для приготовления раствора для инъекций"
201900109,100,венклекста,395213,"венклекста, 100 мг № 112, таблетки покрытые пленочной оболочкой"
201900110,10,венклекста,4997,"венклекста, 10 мг № 14, таблетки покрытые плёночной оболочкой"
201900111,0.1,октреотид,1117,"октреотид, 0,1 мг/мл, 1 мл № 10, раствор для внутривенного и подкожного введения"
201900114,80,соталол,69,"соталол, 80 мг № 20, таблетки"
201900115,450,валганцикловир,20694,"валганцикловир, 450 мг № 60, таблетки покрытые плёночной оболочкой"
201900121,75,пралуэнт,32126,"пралуэнт, 75 мг/мл, 1 мл, шприц-ручки № 2, раствор для подкожного введения"
201900128,12.5,фентанил,1615,"фентанил, 12,5 мкг/час № 5, трансдермальная терапевтическая система (пластырь)"
